tid,attribute,correct_val
9,stadium,Allianz_Arena_Olympic_Stadium_Munich
9,season,2011
9,manager,Atsuyuki_Jayaprakash
10,name,Shunge_Wop
10,surname,Latch
10,birthyear,1982
10,birthplace,Guatemala
10,position,Forward
10,team,ACF_Fiorentina
10,city,Hamburg
10,stadium,King_Power_Stadium
10,season,2014
10,manager,Aiqun_Levergood
11,name,Takenobu_Leighton
11,surname,Derby
11,birthyear,1989
11,birthplace,Savannah
11,position,Defender
11,team,Juventus
11,city,Salvador
11,stadium,BMO_Field
11,season,2015
11,manager,Sigenobu_Bodagala
12,name,Guoren_Igino
12,surname,Hudelmaier
12,birthyear,1979
12,birthplace,Santiago
12,position,Defender
12,team,Seattle_Sounders
12,city,Dortmund
12,stadium,Stadio_San_Paolo
12,season,2013
12,manager,Nabih_Rios
13,name,Steinar_Sathis
13,surname,Brugnano
13,birthyear,1987
13,birthplace,Tokyo
13,position,Goalkeeper
13,team,S.C._Braga
13,city,Gelsenkirchen
13,stadium,Sporting_Park
13,season,2011
13,manager,Anupam_Oxenboll
14,name,Theordore_Zhaoqian
14,surname,Devroye
14,birthyear,1991
14,birthplace,Lexington
14,position,Defender
14,team,Forest_Green_Rovers_F.C.
14,city,Solna
14,stadium,Allianz_Arena_Olympic_Stadium_Munich
14,season,2014
14,manager,Bon_Kruiskamp
15,name,Zhili_Vinay
15,surname,Molzberger
15,birthyear,1981
15,birthplace,Florence
15,position,Goalkeeper
15,team,Boavista_F.C.
15,city,Naples
15,stadium,Veltins-Arena
15,season,2013
15,manager,Srikanth_Chimia
16,name,Gesine_Tilmann
16,surname,Cagman
16,birthyear,1996
16,birthplace,Corpus
16,position,Defender
16,team,VfL_Wolfsburg
16,city,Berlin
16,stadium,Westfalenstadion
16,season,2011
16,manager,Atsufumi_Comparetto
17,name,Huu_Shian
17,surname,Abraham
17,birthyear,1988
17,birthplace,Albuquerque
17,position,Midfield
17,team,Boavista_F.C.
17,city,Naples
17,stadium,Veltins-Arena
17,season,2014
17,manager,Piera_Faustini
18,name,Ryoichi_Ilan
18,surname,Togni
18,birthyear,1992
18,birthplace,Vienna
18,position,Midfield
18,team,Juventus
18,city,Salvador
18,stadium,BMO_Field
18,season,2012
18,manager,IlYoung_Giese
19,name,Annabelle_Katsunori
19,surname,Rouchaleau
19,birthyear,1994
19,birthplace,Wilmington
19,position,Defender
19,team,Valencia_CF
19,city,London
19,stadium,Santiago_Bernabeu_Stadium
19,season,2011
19,manager,Vagan_Smallwood
20,name,Hing_Seichi
20,surname,Kehrer
20,birthyear,1990
20,birthplace,Conakry
20,position,Midfield
20,team,Toronto_FC
20,city,Stuttgart
20,stadium,Camp_Nou
20,season,2014
20,manager,Kazuhiko_Claybrook
21,name,Fuyau_Boo
21,surname,Grillner
21,birthyear,1987
21,birthplace,Pocatello
21,position,Midfield
21,team,Clube_de_Regatas_do_Flamengo
21,city,Rio_de_Janeiro
21,stadium,Stadio_Olimpico
21,season,2011
21,manager,Xiaolei_Ronchette
22,name,Lundy_Bharathi
22,surname,Remp
22,birthyear,1979
22,birthplace,Elko
22,position,Forward
22,team,S.C._Braga
22,city,Gelsenkirchen
22,stadium,Sporting_Park
22,season,2011
22,manager,Anupam_Oxenboll
23,name,Ravin_Shengchang
23,surname,Cucka
23,birthyear,1990
23,birthplace,San
23,position,Goalkeeper
23,team,Borussia_Monchengladbach
23,city,Cardiff
23,stadium,St_James__Park
23,season,2012
23,manager,Jeremy_Cantu
24,name,Shigeo_Jitender
24,surname,Ruckebusch
24,birthyear,1997
24,birthplace,Gainesville
24,position,Defender
24,team,Toronto_FC
24,city,Stuttgart
24,stadium,Camp_Nou
24,season,2014
24,manager,Kazuhiko_Claybrook
25,name,Kioumars_Junbo
25,surname,Kavvadias
25,birthyear,1990
25,birthplace,Beaumont
25,position,Forward
25,team,Boavista_F.C.
25,city,Naples
25,stadium,Veltins-Arena
25,season,2015
25,manager,Duckyoung_Padhye
26,name,Setsuo_Gay
26,surname,Preas
26,birthyear,1980
26,birthplace,South
26,position,Goalkeeper
26,team,West_Ham_United_F.C.
26,city,Solna
26,stadium,Balaidos
26,season,2011
26,manager,Jiangling_Micheaux
27,name,Annabelle_Katsunori
27,surname,Rouchaleau
27,birthyear,1994
27,birthplace,Wilmington
27,position,Defender
27,team,Valencia_CF
27,city,London
27,stadium,Santiago_Bernabeu_Stadium
27,season,2011
27,manager,Vagan_Smallwood
28,name,Masum_Zhenbing
28,surname,Kwasny
28,birthyear,1982
28,birthplace,Charleston
28,position,Forward
28,team,Wolverhampton_Wanderers_Football_Club
28,city,Dortmund
28,stadium,Stadio_San_Paolo
28,season,2013
28,manager,Sigenobu_Bodagala
29,name,Nili_Reese
29,surname,Kopanas
29,birthyear,1975
29,birthplace,Augusta
29,position,Goalkeeper
29,team,FC_Anzhi_Makhachkala
29,city,Tokyo
29,stadium,BMO_Field
29,season,2013
29,manager,Robert_Lally
30,name,Tatuo_Bongki
30,surname,Scofield
30,birthyear,1992
30,birthplace,Birmingham
30,position,Forward
30,team,S.C._Braga
30,city,Gelsenkirchen
30,stadium,Sporting_Park
30,season,2013
30,manager,Shyamala_Gibbs
31,name,Jeroen_Yiyun
31,surname,Henriksson
31,birthyear,1981
31,birthplace,Tri
31,position,Midfield
31,team,Juventus
31,city,Salvador
31,stadium,BMO_Field
31,season,2010
31,manager,Masum_Kasprzak
32,name,Attila_Adelheit
32,surname,Ebbinghaus
32,birthyear,1983
32,birthplace,Manchester
32,position,Forward
32,team,The_New_Saints_F.C.
32,city,London
32,stadium,Santiago_Bernabeu_Stadium
32,season,2012
32,manager,Mayan_Tautenhahn
33,name,Heiner_Farahangiz
33,surname,Weatherhead
33,birthyear,1979
33,birthplace,Louisville
33,position,Midfield
33,team,Valencia_CF
33,city,Montevideo
33,stadium,Constant_Vanden_Stock_Stadium
33,season,2011
33,manager,Veit_Luks
34,name,Gesine_Tilmann
34,surname,Cagman
34,birthyear,1996
34,birthplace,Corpus
34,position,Defender
34,team,Toronto_FC
34,city,Stuttgart
34,stadium,Camp_Nou
34,season,2014
34,manager,Kazuhiko_Claybrook
35,name,Xiaola_Jinhwan
35,surname,Steffan
35,birthyear,1977
35,birthplace,Chihuahua
35,position,Midfield
35,team,Valencia_CF
35,city,Montevideo
35,stadium,Constant_Vanden_Stock_Stadium
35,season,2011
35,manager,Vagan_Smallwood
36,name,Otthein_Naftaly
36,surname,Hogan
36,birthyear,1976
36,birthplace,Salvador
36,position,Midfield
36,team,FC_Dinamo_Bucuresti
36,city,Hamburg
36,stadium,Amsterdam_Arena
36,season,2013
36,manager,Mattan_Edelhoff
37,name,Elenora_Noriyuki
37,surname,Gawlick
37,birthyear,1988
37,birthplace,Orange
37,position,Goalkeeper
37,team,Aik_Solna
37,city,Mexico_City
37,stadium,Vicente_Calderon_Stadium
37,season,2010
37,manager,Shigetomo_Abbas
38,name,Lorrin_Kazuki
38,surname,Gabalda
38,birthyear,1991
38,birthplace,Veracruz
38,position,Forward
38,team,Juventus
38,city,Salvador
38,stadium,BMO_Field
38,season,2010
38,manager,Masum_Kasprzak
39,name,Hiroyuke_Hagbal
39,surname,Ro;dl
39,birthyear,1992
39,birthplace,Montgomery
39,position,Goalkeeper
39,team,Royal_Antwerp_F.C.
39,city,Salvador
39,stadium,BMO_Field
39,season,2011
39,manager,Rashi_Papadourakis
40,name,Annabelle_Katsunori
40,surname,Rouchaleau
40,birthyear,1994
40,birthplace,Wilmington
40,position,Defender
40,team,Valencia_CF
40,city,London
40,stadium,Santiago_Bernabeu_Stadium
40,season,2011
40,manager,Vagan_Smallwood
41,name,Guilang_Prasant
41,surname,Clasen
41,birthyear,1982
41,birthplace,Fairbanks
41,position,Forward
41,team,New_York_Red_Bulls
41,city,Brasilia
41,stadium,San_Siro_Stadium
41,season,2011
41,manager,Atsuyuki_Jayaprakash
42,name,Graham_Kukhamay
42,surname,McCain
42,birthyear,1989
42,birthplace,Barcelona
42,position,Midfield
42,team,Seattle_Sounders
42,city,Dortmund
42,stadium,Stadio_San_Paolo
42,season,2013
42,manager,Nabih_Rios
43,name,Magne_Chihping
43,surname,Jungst
43,birthyear,1990
43,birthplace,Durban
43,position,Forward
43,team,FC_Anzhi_Makhachkala
43,city,Tokyo
43,stadium,BMO_Field
43,season,2013
43,manager,Robert_Lally
44,name,Daisy_Ryotaro
44,surname,Felciano
44,birthyear,1976
44,birthplace,Milan
44,position,Midfield
44,team,Borussia_Monchengladbach
44,city,Cardiff
44,stadium,St_James__Park
44,season,2012
44,manager,Jeremy_Cantu
45,name,Martii_Mischa
45,surname,Matyska
45,birthyear,1978
45,birthplace,Pasco
45,position,Forward
45,team,Wolverhampton_Wanderers_Football_Club
45,city,Dortmund
45,stadium,Stadio_San_Paolo
45,season,2013
45,manager,Sigenobu_Bodagala
46,name,Zengping_Alissa
46,surname,Touretzky
46,birthyear,1983
46,birthplace,Roanoke
46,position,Goalkeeper
46,team,Tianjin_Teda_F.C.
46,city,Cardiff
46,stadium,Estadio_da_Luz
46,season,2014
46,manager,Ahsan_Kliger
47,name,Wendie_Benson
47,surname,Brunk
47,birthyear,1996
47,birthplace,Ouagadougou
47,position,Defender
47,team,Aalborg_Boldspilklub
47,city,London
47,stadium,Anfield
47,season,2014
47,manager,Rosangela_Ketz
48,name,Devina_Qutaibah
48,surname,Schloegel
48,birthyear,1997
48,birthplace,Charleston
48,position,Goalkeeper
48,team,Royal_Antwerp_F.C.
48,city,London
48,stadium,Santiago_Bernabeu_Stadium
48,season,2011
48,manager,Rashi_Papadourakis
49,name,Athushi_Belli
49,surname,Gull
49,birthyear,1977
49,birthplace,Key
49,position,Defender
49,team,A.C._Perugia_Calcio
49,city,Solna
49,stadium,Donbass_Arena
49,season,2014
49,manager,Nabih_Rios
50,name,Hichum_Ashok
50,surname,Leifker
50,birthyear,1984
50,birthplace,Monroe
50,position,Defender
50,team,Forest_Green_Rovers_F.C.
50,city,Solna
50,stadium,Allianz_Arena_Olympic_Stadium_Munich
50,season,2014
50,manager,Bon_Kruiskamp
51,name,Yadran_Mechthild
51,surname,Rayne
51,birthyear,1983
51,birthplace,South
51,position,Forward
51,team,Juventus
51,city,Salvador
51,stadium,BMO_Field
51,season,2012
51,manager,IlYoung_Giese
52,name,Hideaki_Sava
52,surname,Burtschick
52,birthyear,1988
52,birthplace,Guatemala
52,position,Defender
52,team,The_New_Saints_F.C.
52,city,Arlington
52,stadium,Parc_des_Princes
52,season,2014
52,manager,Robbert_Flach
53,name,Mazin_Emeka
53,surname,Milicia
53,birthyear,1989
53,birthplace,New
53,position,Midfield
53,team,West_Ham_United_F.C.
53,city,Solna
53,stadium,Balaidos
53,season,2011
53,manager,Jiangling_Micheaux
54,name,Yadran_Mechthild
54,surname,Rayne
54,birthyear,1983
54,birthplace,South
54,position,Forward
54,team,A.C._Perugia_Calcio
54,city,Solna
54,stadium,Donbass_Arena
54,season,2013
54,manager,Atsufumi_Comparetto
55,name,Brad_Zhaofang
55,surname,Dighe
55,birthyear,1977
55,birthplace,Frankfurt
55,position,Defender
55,team,A.C._Perugia_Calcio
55,city,Solna
55,stadium,Donbass_Arena
55,season,2013
55,manager,Atsufumi_Comparetto
56,name,Wendie_Benson
56,surname,Brunk
56,birthyear,1996
56,birthplace,Ouagadougou
56,position,Defender
56,team,Aalborg_Boldspilklub
56,city,London
56,stadium,Anfield
56,season,2014
56,manager,Rosangela_Ketz
57,name,Pitro_Melek
57,surname,Poulin
57,birthyear,1975
57,birthplace,Buffalo
57,position,Midfield
57,team,FC_Kaiserslautern
57,city,Munich
57,stadium,Stadio_Olimpico
57,season,2012
57,manager,Atsufumi_Comparetto
58,name,Graham_Kukhamay
58,surname,McCain
58,birthyear,1989
58,birthplace,Barcelona
58,position,Midfield
58,team,A.C._Perugia_Calcio
58,city,Solna
58,stadium,Donbass_Arena
58,season,2013
58,manager,Masum_Kasprzak
59,name,Oryal_Tohru
59,surname,Mikelsons
59,birthyear,1997
59,birthplace,Zihuatenejo
59,position,Forward
59,team,Boavista_F.C.
59,city,Naples
59,stadium,Veltins-Arena
59,season,2015
59,manager,Duckyoung_Padhye
60,name,Cherri_Toshiaki
60,surname,Musselman
60,birthyear,1984
60,birthplace,Valdosta
60,position,Goalkeeper
60,team,The_New_Saints_F.C.
60,city,London
60,stadium,Santiago_Bernabeu_Stadium
60,season,2012
60,manager,Mayan_Tautenhahn
61,name,Takenobu_Leighton
61,surname,Derby
61,birthyear,1989
61,birthplace,Savannah
61,position,Forward
61,team,Valencia_CF
61,city,Munich
61,stadium,Stadio_Olimpico
61,season,2011
61,manager,Vagan_Smallwood
62,name,Alper_Ehud
62,surname,Lichnewsky
62,birthyear,1988
62,birthplace,Ontario
62,position,Goalkeeper
62,team,Valencia_CF
62,city,Stuttgart
62,stadium,Camp_Nou
62,season,2011
62,manager,Veit_Luks
63,name,Surnjani_Catharine
63,surname,Marciano
63,birthyear,1980
63,birthplace,Puebla
63,position,Forward
63,team,Seattle_Sounders
63,city,Dortmund
63,stadium,Stadio_San_Paolo
63,season,2011
63,manager,Aiqun_Levergood
64,name,Nili_Reese
64,surname,Kopanas
64,birthyear,1975
64,birthplace,Augusta
64,position,Goalkeeper
64,team,FC_Anzhi_Makhachkala
64,city,Tokyo
64,stadium,BMO_Field
64,season,2013
64,manager,Robert_Lally
65,name,Klaus_Nicu
65,surname,Strevell
65,birthyear,1979
65,birthplace,Roanoke
65,position,Forward
65,team,Valencia_CF
65,city,Montevideo
65,stadium,Constant_Vanden_Stock_Stadium
65,season,2011
65,manager,Vagan_Smallwood
66,name,Munir_Sajal
66,surname,Bottreau
66,birthyear,1982
66,birthplace,Charleston
66,position,Defender
66,team,Valencia_CF
66,city,Montevideo
66,stadium,Constant_Vanden_Stock_Stadium
66,season,2011
66,manager,Veit_Luks
67,name,Laird_Capers
67,surname,Aigrain
67,birthyear,1990
67,birthplace,Vail
67,position,Defender
67,team,P.a.o.k_Fc
67,city,Tokyo
67,stadium,BMO_Field
67,season,2012
67,manager,Xiaomin_Saoudi
68,name,Osmar_Norton
68,surname,Gove
68,birthyear,1975
68,birthplace,Paris
68,position,Defender
68,team,Wolverhampton_Wanderers_Football_Club
68,city,Glasgow
68,stadium,Emirates_Stadium
68,season,2013
68,manager,Sigenobu_Bodagala
69,name,Rohan_Sander
69,surname,Rezende
69,birthyear,1995
69,birthplace,Providenciales
69,position,Forward
69,team,FC_Spartak_Moscow
69,city,Rio_de_Janeiro
69,stadium,Stadio_Olimpico
69,season,2012
69,manager,Olavi_Gurd
70,name,Guoren_Igino
70,surname,Hudelmaier
70,birthyear,1979
70,birthplace,Santiago
70,position,Defender
70,team,Tianjin_Teda_F.C.
70,city,Cardiff
70,stadium,Estadio_da_Luz
70,season,2011
70,manager,Ryouji_Dare
71,name,Dallas_Chongkye
71,surname,Timkovsky
71,birthyear,1988
71,birthplace,Panama
71,position,Forward
71,team,Juventus
71,city,Salvador
71,stadium,BMO_Field
71,season,2012
71,manager,IlYoung_Giese
72,name,Mahmut_Vyjayanti
72,surname,Dedood
72,birthyear,1984
72,birthplace,Mobile
72,position,Goalkeeper
72,team,FK_Partizan
72,city,Orlando
72,stadium,White_Hart_Lane
72,season,2012
72,manager,Ravindra_Grnarov
73,name,Jacob_Efthimis
73,surname,Guoxing
73,birthyear,1986
73,birthplace,Appleton
73,position,Forward
73,team,A.C._Perugia_Calcio
73,city,Solna
73,stadium,Donbass_Arena
73,season,2014
73,manager,Nabih_Rios
74,name,Gongzhu_Youngmok
74,surname,Kubicar
74,birthyear,1979
74,birthplace,Warsaw
74,position,Midfield
74,team,Delfino_Pescara_1936
74,city,Orlando
74,stadium,King_Power_Stadium
74,season,2012
74,manager,Robbert_Flach
75,name,Errol_Cetin
75,surname,Fabrizio
75,birthyear,1978
75,birthplace,Shreveport
75,position,Midfield
75,team,P.a.o.k_Fc
75,city,Tokyo
75,stadium,BMO_Field
75,season,2012
75,manager,Xiaomin_Saoudi
76,name,Sarangan_Sreerama
76,surname,Borgelt
76,birthyear,1994
76,birthplace,Baltimore
76,position,Midfield
76,team,FC_Spartak_Moscow
76,city,Istanbul
76,stadium,Jan_Breydel_Stadium
76,season,2011
76,manager,Yki_Villano
77,name,Matthey_Toshihisa
77,surname,Bowhill
77,birthyear,1983
77,birthplace,Colorado
77,position,Defender
77,team,New_York_Red_Bulls
77,city,Brasilia
77,stadium,San_Siro_Stadium
77,season,2011
77,manager,Atsuyuki_Jayaprakash
78,name,Vassilios_Rildo
78,surname,Cippico
78,birthyear,1997
78,birthplace,Green
78,position,Forward
78,team,A.C._Perugia_Calcio
78,city,Solna
78,stadium,Donbass_Arena
78,season,2013
78,manager,Atsufumi_Comparetto
79,name,Yadran_Mechthild
79,surname,Rayne
79,birthyear,1983
79,birthplace,South
79,position,Forward
79,team,A.C._Perugia_Calcio
79,city,Solna
79,stadium,Donbass_Arena
79,season,2013
79,manager,Atsufumi_Comparetto
80,name,Ramakant_Elgin
80,surname,Schachter
80,birthyear,1990
80,birthplace,Sun
80,position,Forward
80,team,Valencia_CF
80,city,Montevideo
80,stadium,Constant_Vanden_Stock_Stadium
80,season,2011
80,manager,Vagan_Smallwood
81,name,Raymond_Huaiyuan
81,surname,Merico
81,birthyear,1985
81,birthplace,Detroit
81,position,Forward
81,team,Lille_OSC
81,city,Munich
81,stadium,Allianz_Arena_Olympic_Stadium_Munich
81,season,2010
81,manager,Robert_Lally
82,name,Joxan_Barb
82,surname,Eisenstadt
82,birthyear,1977
82,birthplace,Conakry
82,position,Forward
82,team,Grasshopper_Club_Zurich
82,city,Moscow
82,stadium,Gerhard_Hanappi_Stadium
82,season,2015
82,manager,Olavi_Gurd
83,name,Jialin_Huan
83,surname,Rensink
83,birthyear,1976
83,birthplace,Billings
83,position,Midfield
83,team,S.C._Braga
83,city,Gelsenkirchen
83,stadium,Sporting_Park
83,season,2013
83,manager,Henryk_Kochs
84,name,Salim_Uday
84,surname,Buttyan
84,birthyear,1986
84,birthplace,Beaumont
84,position,Defender
84,team,FK_Partizan
84,city,Orlando
84,stadium,White_Hart_Lane
84,season,2012
84,manager,Ravindra_Grnarov
85,name,Rastislav_Stevo
85,surname,Bellosta
85,birthyear,1976
85,birthplace,Cozumel
85,position,Midfield
85,team,The_New_Saints_F.C.
85,city,Arlington
85,stadium,Parc_des_Princes
85,season,2012
85,manager,Mayan_Tautenhahn
86,name,Anke_Ute
86,surname,Weener
86,birthyear,1995
86,birthplace,Kiev
86,position,Defender
86,team,Juventus
86,city,Salvador
86,stadium,BMO_Field
86,season,2012
86,manager,IlYoung_Giese
87,name,Gesine_Tilmann
87,surname,Cagman
87,birthyear,1996
87,birthplace,Corpus
87,position,Defender
87,team,VfL_Wolfsburg
87,city,Berlin
87,stadium,Westfalenstadion
87,season,2011
87,manager,Atsufumi_Comparetto
88,name,Anya_Itaru
88,surname,Ghezal
88,birthyear,1977
88,birthplace,Orlando
88,position,Midfield
88,team,FC_Bayern_Munich
88,city,Seattle
88,stadium,San_Siro_Stadium
88,season,2015
88,manager,Atsufumi_Comparetto
89,name,Fiora_Avinash
89,surname,Rosinski
89,birthyear,1993
89,birthplace,Palm
89,position,Defender
89,team,The_New_Saints_F.C.
89,city,Arlington
89,stadium,Parc_des_Princes
89,season,2014
89,manager,Robbert_Flach
90,name,Farshid_Zubin
90,surname,Seppanen
90,birthyear,1983
90,birthplace,Washington
90,position,Defender
90,team,Juventus
90,city,Salvador
90,stadium,BMO_Field
90,season,2015
90,manager,Sigenobu_Bodagala
91,name,Clay_Pawel
91,surname,Kadar
91,birthyear,1991
91,birthplace,Sarasota
91,position,Defender
91,team,New_York_Red_Bulls
91,city,Brasilia
91,stadium,San_Siro_Stadium
91,season,2011
91,manager,Atsuyuki_Jayaprakash
92,name,Yasubumi_Friedemann
92,surname,Nobauer
92,birthyear,1984
92,birthplace,Louisville
92,position,Midfield
92,team,Juventus
92,city,Salvador
92,stadium,BMO_Field
92,season,2010
92,manager,Masum_Kasprzak
93,name,Rastislav_Stevo
93,surname,Bellosta
93,birthyear,1976
93,birthplace,Cozumel
93,position,Midfield
93,team,The_New_Saints_F.C.
93,city,Arlington
93,stadium,Parc_des_Princes
93,season,2012
93,manager,Mayan_Tautenhahn
94,name,Guisseppi_Abdelmadjid
94,surname,Newstead
94,birthyear,1994
94,birthplace,Istanbul
94,position,Midfield
94,team,Boavista_F.C.
94,city,Naples
94,stadium,Veltins-Arena
94,season,2015
94,manager,Duckyoung_Padhye
95,name,Gernod_Sowmitri
95,surname,Harloff
95,birthyear,1991
95,birthplace,Monterrey
95,position,Forward
95,team,SV_Werder_Bremen
95,city,Barcelona
95,stadium,Boleyn_Ground
95,season,2014
95,manager,Sigenobu_Bodagala
96,name,Hideaki_Sava
96,surname,Burtschick
96,birthyear,1988
96,birthplace,Guatemala
96,position,Midfield
96,team,New_York_Red_Bulls
96,city,Brasilia
96,stadium,San_Siro_Stadium
96,season,2011
96,manager,Atsuyuki_Jayaprakash
97,name,Behcet_Liu
97,surname,Tomii
97,birthyear,1991
97,birthplace,Myrtle
97,position,Defender
97,team,FC_Spartak_Moscow
97,city,Istanbul
97,stadium,Jan_Breydel_Stadium
97,season,2012
97,manager,Olavi_Gurd
98,name,Chitresh_Harlan
98,surname,Babb
98,birthyear,1991
98,birthplace,Copenhagen
98,position,Midfield
98,team,Forest_Green_Rovers_F.C.
98,city,Solna
98,stadium,Allianz_Arena_Olympic_Stadium_Munich
98,season,2012
98,manager,Srikanth_Chimia
99,name,Petru_Bapiraju
99,surname,Harbison
99,birthyear,1984
99,birthplace,Lome
99,position,Defender
99,team,Club_Atletico_Velez_Sarsfield
99,city,Athens
99,stadium,Stadio_Artemio_Franchi
99,season,2014
99,manager,Srikanth_Chimia
100,name,Surapol_Yechezkel
100,surname,Noltemeier
100,birthyear,1984
100,birthplace,Reno
100,position,Midfield
100,team,Royal_Antwerp_F.C.
100,city,London
100,stadium,Santiago_Bernabeu_Stadium
100,season,2011
100,manager,Rashi_Papadourakis
101,name,Ezio_Roslyn
101,surname,Grems
101,birthyear,1987
101,birthplace,Toronto
101,position,Midfield
101,team,Juventus
101,city,Salvador
101,stadium,BMO_Field
101,season,2010
101,manager,Masum_Kasprzak
102,name,Yooichi_Hemant
102,surname,Valette
102,birthyear,1976
102,birthplace,Amarillo
102,position,Forward
102,team,Montpellier_HSC
102,city,Recife
102,stadium,Stade_Velodrome
102,season,2013
102,manager,Bernando_Jesus
103,name,Elie_Mart
103,surname,Otillio
103,birthyear,1982
103,birthplace,Zihuatenejo
103,position,Defender
103,team,FC_Bayern_Munich
103,city,Seattle
103,stadium,San_Siro_Stadium
103,season,2015
103,manager,Atsufumi_Comparetto
104,name,Gennadi_Ciprian
104,surname,Kubicar
104,birthyear,1995
104,birthplace,Madrid
104,position,Forward
104,team,P.a.o.k_Fc
104,city,Brasilia
104,stadium,King_Power_Stadium
104,season,2012
104,manager,Kazuhiko_Claybrook
105,name,Pitro_Melek
105,surname,Poulin
105,birthyear,1975
105,birthplace,Buffalo
105,position,Midfield
105,team,P.a.o.k_Fc
105,city,Brasilia
105,stadium,King_Power_Stadium
105,season,2012
105,manager,Xiaomin_Saoudi
106,name,Daisy_Ryotaro
106,surname,Felciano
106,birthyear,1976
106,birthplace,Milan
106,position,Midfield
106,team,Boavista_F.C.
106,city,Naples
106,stadium,Veltins-Arena
106,season,2015
106,manager,Duckyoung_Padhye
107,name,Takenobu_Leighton
107,surname,Derby
107,birthyear,1989
107,birthplace,Savannah
107,position,Forward
107,team,Valencia_CF
107,city,Munich
107,stadium,Stadio_Olimpico
107,season,2011
107,manager,Vagan_Smallwood
108,name,Jianlin_Guanghui
108,surname,Rudstrom
108,birthyear,1979
108,birthplace,Des
108,position,Forward
108,team,A.C._Perugia_Calcio
108,city,Solna
108,stadium,Donbass_Arena
108,season,2014
108,manager,Nabih_Rios
109,name,Hichum_Ashok
109,surname,Leifker
109,birthyear,1984
109,birthplace,Monroe
109,position,Goalkeeper
109,team,VfL_Wolfsburg
109,city,Berlin
109,stadium,Westfalenstadion
109,season,2011
109,manager,Atsufumi_Comparetto
110,name,Pierangela_Sudha
110,surname,Tulley
110,birthyear,1986
110,birthplace,Greensboro
110,position,Goalkeeper
110,team,Wolverhampton_Wanderers_Football_Club
110,city,Glasgow
110,stadium,Emirates_Stadium
110,season,2012
110,manager,Zhouhui_Rubio
111,name,Nili_Reese
111,surname,Kopanas
111,birthyear,1975
111,birthplace,Augusta
111,position,Midfield
111,team,Clube_de_Regatas_do_Flamengo
111,city,Rio_de_Janeiro
111,stadium,Stadio_Olimpico
111,season,2011
111,manager,Xiaolei_Ronchette
112,name,Curd_Jussi
112,surname,Shindo
112,birthyear,1998
112,birthplace,Seattle
112,position,Forward
112,team,S.C._Braga
112,city,Gelsenkirchen
112,stadium,Sporting_Park
112,season,2011
112,manager,Anupam_Oxenboll
113,name,Kamal_Carolyn
113,surname,Kontos
113,birthyear,1981
113,birthplace,Green
113,position,Defender
113,team,P.a.o.k_Fc
113,city,Tokyo
113,stadium,BMO_Field
113,season,2012
113,manager,Xiaomin_Saoudi
114,name,Renganathan_Sihai
114,surname,Godo
114,birthyear,1989
114,birthplace,Baton
114,position,Goalkeeper
114,team,The_New_Saints_F.C.
114,city,Arlington
114,stadium,Parc_des_Princes
114,season,2012
114,manager,Mayan_Tautenhahn
