,0,1,2,3
2844,COL f_name VAL Daron COL l_name VAL D''Ambra COL gender VAL F COL area_code VAL 520 COL phone VAL 465-2979 COL city VAL GLENDALE COL state VAL AZ COL zip VAL 85306 COL marital_status VAL M COL has_child VAL N COL salary VAL 50000 COL rate VAL 3.49 COL single_exemp VAL 0 COL married_exemp VAL 4200 COL child_exemp VAL 0-* ,COL child_exemp VAL 0-* ,1,child_exemp
38289,COL f_name VAL Manjai COL l_name VAL Schmidmaier COL gender VAL M COL area_code VAL 907 COL phone VAL 384-5125 COL city VAL KENAI COL state VAL AK COL zip VAL 99611 COL marital_status VAL M COL has_child VAL N COL salary VAL 45000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL KENAI ,0,city
17524,COL f_name VAL Damanjit COL l_name VAL Giacobazzi COL gender VAL M COL area_code VAL 918 COL phone VAL 303-1040 COL city VAL TULSA COL state VAL NJ-* COL zip VAL 74157 COL marital_status VAL M COL has_child VAL Y COL salary VAL 30000 COL rate VAL 6.25 COL single_exemp VAL 0 COL married_exemp VAL 2000 COL child_exemp VAL 1000 ,COL state VAL NJ-* ,1,state
29945,COL f_name VAL Irs''hak COL l_name VAL Quarrie COL gender VAL M COL area_code VAL 845 COL phone VAL 555-1472 COL city VAL OLEAN COL state VAL NY COL zip VAL 14760 COL marital_status VAL S COL has_child VAL N COL salary VAL 25000 COL rate VAL 4.0984755 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL OLEAN ,0,city
31791,COL f_name VAL Aiguo COL l_name VAL Suh'nel COL gender VAL F COL area_code VAL 907 COL phone VAL 868-5227 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99529 COL marital_status VAL M COL has_child VAL Y COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL Suh'nel ,0,l_name
15602,COL f_name VAL Dominik COL l_name VAL Hagglund COL gender VAL F COL area_code VAL 864 COL phone VAL 371-1129 COL city VAL TRENTON COL state VAL NJ COL zip VAL 29847 COL marital_status VAL S COL has_child VAL Y COL salary VAL 75000 COL rate VAL 7.0 COL single_exemp VAL 3300 COL married_exemp VAL 0 COL child_exemp VAL 3300-* ,COL child_exemp VAL 3300-* ,1,child_exemp
5877,COL f_name VAL Ramachendra COL l_name VAL Give''on COL gender VAL F COL area_code VAL 580 COL phone VAL 663-7472 COL city VAL OKLAHOMA CITY COL state VAL OK COL zip VAL 73179 COL marital_status VAL M COL has_child VAL N COL salary VAL 30000 COL rate VAL 6.25 COL single_exemp VAL 0 COL married_exemp VAL 2000 COL child_exemp VAL 0 ,COL state VAL OK ,0,state
39835,COL f_name VAL Jun''ichi COL l_name VAL Ba'i COL gender VAL M COL area_code VAL 406 COL phone VAL 289-8638 COL city VAL ELMO COL state VAL MT COL zip VAL 59915 COL marital_status VAL M COL has_child VAL N COL salary VAL 5000 COL rate VAL 2.3732758 COL single_exemp VAL 0 COL married_exemp VAL 3800 COL child_exemp VAL 0 ,COL l_name VAL Ba'i ,0,l_name
23332,COL f_name VAL Irs''hak COL l_name VAL Orwant COL gender VAL M COL area_code VAL 928 COL phone VAL 718-5440 COL city VAL AMADO-* COL state VAL AZ COL zip VAL 85645 COL marital_status VAL S COL has_child VAL N COL salary VAL 30000 COL rate VAL 3.1799998 COL single_exemp VAL 2100 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL AMADO-* ,1,city
31187,COL f_name VAL Diran COL l_name VAL O''Cinneide COL gender VAL M COL area_code VAL 504 COL phone VAL 455-9290 COL city VAL ADDIS COL state VAL LA COL zip VAL 70710 COL marital_status VAL M COL has_child VAL N COL salary VAL 20000 COL rate VAL 4.4 COL single_exemp VAL 0 COL married_exemp VAL 9000 COL child_exemp VAL 0 ,COL child_exemp VAL 0 ,0,child_exemp
12495,COL f_name VAL Hyungill COL l_name VAL Wroclawski COL gender VAL M COL area_code VAL 803 COL phone VAL 609-3882 COL city VAL SUMTER COL state VAL SC COL zip VAL 1907 COL marital_status VAL M COL has_child VAL Y COL salary VAL 45000 COL rate VAL 7.0 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300 ,COL child_exemp VAL 3300 ,0,child_exemp
33604,COL f_name VAL Hideyuki COL l_name VAL Schieder COL gender VAL M COL area_code VAL 770 COL phone VAL 249-2495 COL city VAL APPLING-* COL state VAL GA COL zip VAL 30802 COL marital_status VAL S COL has_child VAL N COL salary VAL 60000 COL rate VAL 6.0 COL single_exemp VAL 2700-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL single_exemp VAL 2700-* ,1,single_exemp
17345,COL f_name VAL Matthey COL l_name VAL Parmakson COL gender VAL M COL area_code VAL 505 COL phone VAL 821-5297 COL city VAL TAIBAN COL state VAL NJ COL zip VAL 88134 COL marital_status VAL M COL has_child VAL Y COL salary VAL 15000 COL rate VAL 4.957143 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300 ,COL state VAL NJ ,0,state
36655,COL f_name VAL Ra''ed COL l_name VAL M'arciano COL gender VAL F COL area_code VAL 860 COL phone VAL 595-8880 COL city VAL STORRS MANSFIELD COL state VAL CT COL zip VAL 6268 COL marital_status VAL S COL has_child VAL Y COL salary VAL 40000 COL rate VAL 5.0 COL single_exemp VAL 12750 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL M'arciano ,0,l_name
30262,COL f_name VAL Chenye COL l_name VAL D''Ambra COL gender VAL M COL area_code VAL 410 COL phone VAL 765-3742 COL city VAL BALTIMORE-* COL state VAL MD COL zip VAL 21281 COL marital_status VAL M COL has_child VAL Y COL salary VAL 15000 COL rate VAL 4.75 COL single_exemp VAL 0 COL married_exemp VAL 4800 COL child_exemp VAL 2400 ,COL city VAL BALTIMORE-* ,1,city
5897,COL f_name VAL Torkel COL l_name VAL Narin''ani COL gender VAL F COL area_code VAL 505 COL phone VAL 935-9227 COL city VAL FORT STANTON COL state VAL NM COL zip VAL 88323 COL marital_status VAL M COL has_child VAL N COL salary VAL 20000 COL rate VAL 5.3 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 0 ,COL state VAL NM ,0,state
22713,COL f_name VAL Anany COL l_name VAL Schlabach COL gender VAL F COL area_code VAL 256 COL phone VAL 510-2099 COL city VAL CORDOVA COL state VAL AL COL zip VAL 35550 COL marital_status VAL M COL has_child VAL Y COL salary VAL 55000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL single_exemp VAL 1500 ,0,single_exemp
31144,COL f_name VAL Mallika COL l_name VAL Suchak COL gender VAL F COL area_code VAL 907 COL phone VAL 821-7122 COL city VAL WASILLA COL state VAL AK-* COL zip VAL 99654 COL marital_status VAL S COL has_child VAL N COL salary VAL 15000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL state VAL AK-* ,1,state
36679,COL f_name VAL Shin''ichi COL l_name VAL Chuan COL gender VAL M COL area_code VAL 939 COL phone VAL 707-1425 COL city VAL SAN JUAN COL state VAL PR COL zip VAL 936 COL marital_status VAL S COL has_child VAL Y COL salary VAL 20000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL PR ,0,state
1273,COL f_name VAL Surveyors'' COL l_name VAL Prodrodmidis COL gender VAL M COL area_code VAL 202 COL phone VAL 759-8178 COL city VAL WASHINGTON COL state VAL DC COL zip VAL 20043 COL marital_status VAL S COL has_child VAL N COL salary VAL 30000 COL rate VAL 9.0 COL single_exemp VAL 1370 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL DC ,0,state
720,COL f_name VAL Shin''ichi COL l_name VAL Buskens COL gender VAL M COL area_code VAL 801 COL phone VAL 869-2106 COL city VAL LA VERKIN-* COL state VAL UT COL zip VAL 84745 COL marital_status VAL S COL has_child VAL Y COL salary VAL 70000 COL rate VAL 7.0 COL single_exemp VAL 2475 COL married_exemp VAL 0 COL child_exemp VAL 2475 ,COL city VAL LA VERKIN-* ,1,city
36771,COL f_name VAL Betti COL l_name VAL Bergsten COL gender VAL M COL area_code VAL 907 COL phone VAL 665-5950 COL city VAL KAKTOVIK COL state VAL AK COL zip VAL 99747 COL marital_status VAL M COL has_child VAL Y COL salary VAL 95000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL AK ,0,state
12277,COL f_name VAL Iwen COL l_name VAL Vecchi COL gender VAL M COL area_code VAL 202 COL phone VAL 149-4531 COL city VAL WASHINGTON COL state VAL DC COL zip VAL 1907 COL marital_status VAL M COL has_child VAL Y COL salary VAL 10000 COL rate VAL 4.5 COL single_exemp VAL 0 COL married_exemp VAL 2740 COL child_exemp VAL 1370 ,COL single_exemp VAL 0 ,0,single_exemp
18259,COL f_name VAL Konstantinos COL l_name VAL Bear COL gender VAL M COL area_code VAL 304 COL phone VAL 305-5966 COL city VAL RANSON COL state VAL AR COL zip VAL 25438 COL marital_status VAL S COL has_child VAL Y COL salary VAL 100000 COL rate VAL 6.5 COL single_exemp VAL 2000 COL married_exemp VAL 0 COL child_exemp VAL 2000 ,COL single_exemp VAL 2000 ,0,single_exemp
40435,COL f_name VAL Bre'ndon COL l_name VAL Quinqueton COL gender VAL F COL area_code VAL 907 COL phone VAL 557-2487 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99524 COL marital_status VAL S COL has_child VAL Y COL salary VAL 20000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL Bre'ndon ,0,f_name
29249,COL f_name VAL M''Lissa COL l_name VAL Yasumatsu COL gender VAL M COL area_code VAL 435 COL phone VAL 295-1066 COL city VAL MOAB COL state VAL UT COL zip VAL 84532 COL marital_status VAL M COL has_child VAL N COL salary VAL 35000 COL rate VAL 7.0 COL single_exemp VAL 0 COL married_exemp VAL 4950 COL child_exemp VAL 0 ,COL single_exemp VAL 0 ,0,single_exemp
883,COL f_name VAL Irs''hak COL l_name VAL Banreuther COL gender VAL M COL area_code VAL 720 COL phone VAL 467-6380 COL city VAL POWDERHORN COL state VAL CO COL zip VAL 81243 COL marital_status VAL S COL has_child VAL N COL salary VAL 55000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL CO ,0,state
29548,COL f_name VAL Bret COL l_name VAL Delcambre COL gender VAL F COL area_code VAL 907 COL phone VAL 955-2084 COL city VAL ANGOON COL state VAL AK-* COL zip VAL 99820 COL marital_status VAL S COL has_child VAL N COL salary VAL 15000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL state VAL AK-* ,1,state
18733,COL f_name VAL Hing COL l_name VAL Llado COL gender VAL M COL area_code VAL 208 COL phone VAL 506-5952 COL city VAL ARBON-* COL state VAL ID COL zip VAL 83212 COL marital_status VAL M COL has_child VAL Y COL salary VAL 75000 COL rate VAL 7.8 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300 ,COL state VAL ID ,0,state
39249,COL f_name VAL Esko COL l_name VAL Androutsopoulos COL gender VAL M COL area_code VAL 907 COL phone VAL 125-3114 COL city VAL NIGHTMUTE COL state VAL AK COL zip VAL 99690 COL marital_status VAL M COL has_child VAL N COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL NIGHTMUTE ,0,city
29777,COL f_name VAL Heiko COL l_name VAL Warschat COL gender VAL M COL area_code VAL 907 COL phone VAL 707-9022 COL city VAL TANACROSS COL state VAL AK COL zip VAL 99776 COL marital_status VAL S COL has_child VAL N COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL city VAL TANACROSS ,0,city
3185,COL f_name VAL Vasken COL l_name VAL d''Inverno COL gender VAL M COL area_code VAL 860 COL phone VAL 436-9926 COL city VAL TORRINGTON COL state VAL CT COL zip VAL 6790 COL marital_status VAL M COL has_child VAL N COL salary VAL 20000 COL rate VAL 5.0 COL single_exemp VAL 0 COL married_exemp VAL 24500 COL child_exemp VAL 0 ,COL child_exemp VAL 0 ,0,child_exemp
35481,COL f_name VAL Liqun COL l_name VAL Takiguchi COL gender VAL F COL area_code VAL 720 COL phone VAL 882-2388 COL city VAL ARAPAHOE-* COL state VAL CO COL zip VAL 80802 COL marital_status VAL S COL has_child VAL Y COL salary VAL 65000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL CO ,0,state
2788,COL f_name VAL Byron COL l_name VAL d''Astous COL gender VAL M COL area_code VAL 808 COL phone VAL 160-5912 COL city VAL CAPTAIN COOK-* COL state VAL HI COL zip VAL 96704 COL marital_status VAL S COL has_child VAL N COL salary VAL 75000 COL rate VAL 8.25 COL single_exemp VAL 1040 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL CAPTAIN COOK-* ,1,city
16709,COL f_name VAL Masadi COL l_name VAL Blaauw COL gender VAL F COL area_code VAL 301 COL phone VAL 731-4146 COL city VAL MAYO COL state VAL NJ COL zip VAL 21106 COL marital_status VAL S COL has_child VAL Y COL salary VAL 60000 COL rate VAL 4.75 COL single_exemp VAL 2400 COL married_exemp VAL 0 COL child_exemp VAL 2400 ,COL city VAL MAYO ,0,city
32820,COL f_name VAL Jolanta COL l_name VAL d''Acierno COL gender VAL M COL area_code VAL 901 COL phone VAL 182-4211 COL city VAL NASHVILLE-* COL state VAL TN COL zip VAL 37214 COL marital_status VAL M COL has_child VAL N COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL NASHVILLE-* ,1,city
14353,COL f_name VAL Izaskun COL l_name VAL Tautges COL gender VAL F COL area_code VAL 865 COL phone VAL 984-3918 COL city VAL SAINT JOSEPH COL state VAL AR COL zip VAL 38481 COL marital_status VAL S COL has_child VAL Y COL salary VAL 30000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL single_exemp VAL 0 ,0,single_exemp
40382,COL f_name VAL Jeonghee COL l_name VAL Grizzle COL gender VAL M COL area_code VAL 970 COL phone VAL 758-2863 COL city VAL ARAPAHOE-* COL state VAL CO COL zip VAL 80802 COL marital_status VAL S COL has_child VAL N COL salary VAL 5000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL child_exemp VAL 0-* ,1,child_exemp
29701,COL f_name VAL Sourav COL l_name VAL Dairiki COL gender VAL M COL area_code VAL 907 COL phone VAL 460-5949 COL city VAL UNALASKA COL state VAL AK COL zip VAL 99685 COL marital_status VAL M COL has_child VAL N COL salary VAL 40000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL single_exemp VAL 0 ,0,single_exemp
31134,COL f_name VAL Frederique COL l_name VAL N''Dong COL gender VAL F COL area_code VAL 804 COL phone VAL 536-7019 COL city VAL WOODFORD COL state VAL VA COL zip VAL 22580 COL marital_status VAL S COL has_child VAL N COL salary VAL 25000 COL rate VAL 5.75 COL single_exemp VAL 900-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL single_exemp VAL 900-* ,1,single_exemp
24498,COL f_name VAL Yasuichi COL l_name VAL Sere''no COL gender VAL M COL area_code VAL 859 COL phone VAL 740-5321 COL city VAL OWINGSVILLE COL state VAL KY COL zip VAL 1907 COL marital_status VAL M COL has_child VAL Y COL salary VAL 30000 COL rate VAL 3.5 COL single_exemp VAL 0 COL married_exemp VAL 40 COL child_exemp VAL 20 ,COL l_name VAL Sere''no ,1,l_name
10305,COL f_name VAL Lulu COL l_name VAL P'esch COL gender VAL M COL area_code VAL 414 COL phone VAL 124-6585 COL city VAL MINDORO COL state VAL WI COL zip VAL 1907 COL marital_status VAL S COL has_child VAL Y COL salary VAL 95000 COL rate VAL 6.097042 COL single_exemp VAL 700 COL married_exemp VAL 0 COL child_exemp VAL 400 ,COL l_name VAL P'esch ,0,l_name
25010,COL f_name VAL Keren COL l_name VAL Bisseret COL gender VAL F COL area_code VAL 505 COL phone VAL 421-3340 COL city VAL SACRAMENTO COL state VAL NM COL zip VAL 1907 COL marital_status VAL M COL has_child VAL Y COL salary VAL 10000 COL rate VAL 3.2428572 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300-* ,COL child_exemp VAL 3300-* ,1,child_exemp
7507,COL f_name VAL Shipei COL l_name VAL O''Cinneide COL gender VAL F COL area_code VAL 478 COL phone VAL 660-2460 COL city VAL TUNNEL HILL COL state VAL GA COL zip VAL 30755 COL marital_status VAL M COL has_child VAL Y COL salary VAL 55000 COL rate VAL 6.0 COL single_exemp VAL 0 COL married_exemp VAL 5400 COL child_exemp VAL 3000 ,COL single_exemp VAL 0 ,0,single_exemp
10929,COL f_name VAL Henny COL l_name VAL Lin'nell COL gender VAL F COL area_code VAL 828 COL phone VAL 291-8641 COL city VAL RALEIGH COL state VAL NC COL zip VAL 1907 COL marital_status VAL M COL has_child VAL N COL salary VAL 95000 COL rate VAL 7.7255244 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 0 ,COL l_name VAL Lin'nell ,0,l_name
